nombre_archivo,fecha_acta,tag,nivel,actores,unidad,extracto
Consejo Académico 297-22.pdf,2022-01-22,"Oferta de cursos,Oferta virtual",,Estudiantes,,"La rectora (e) anunció que la cartelera de cursos de pregrado del 2022-10 tiene un 89% de
cursos en modalidad presencial y 11% en modalidad virtual. Respecto a los posgrados, la
cartelera presencial quedó en 79,8% para maestría, 67,5% para especialización y 65,1% para
doctorado. Mencionó la posibilidad de que se presenten casos de Covid-19 durante el primer
bimestre por los efectos de la variante Ómicron en la ciudad. De ser así, se han contemplado
diversas opciones para que los profesores puedan garantizar a los estudiantes la continuidad
de sus clases. Por último, manifestó que la Universidad sigue atenta a las disposiciones
nacionales y distritales para actuar de manera consecuente con las mismas."
Consejo Académico 297-22.pdf,2022-01-22,"Estructura Interna,Cambios administrativos",,"Estudiantes,Profesores",,"La rectora (e) mencionó que, dadas las nuevas instancias aprobadas en la reforma al régimen
disciplinario de los reglamentos estudiantiles, el Consejo Académico es el encargado de
conformar el Comité MAAD, la Sala Especial MAAD y el Comité de Asuntos Estudiantiles,
CAE."
Consejo Académico 297-22.pdf,2022-01-22,Representación,,"Estudiantes,Profesores",,"La rectora (e) manifestó que los representantes estudiantiles de cada una de estas instancias
deberán ser elegidos lo antes posible por el CEU y el CEPA. De igual manera, indicó que los
miembros de estas instancias recibirán un taller de capacitación a cargo de los profesores
Ricardo Molina y Ricardo Posada, así como de la Ombudsperson, Margarita Gómez y de la
Secretaria General, María Teresa Tobón. Para terminar, señaló que se está conformando la lista
de miembros suplentes en cada instancia."
Consejo Académico 297-22.pdf,2022-01-22,Informe de gestión ,,Administración,Educación,"La rectora (e) informó que el Comité Directivo, en su sesión del 10 de diciembre de 2021,
renovó el nombramiento de Eduardo Escallón como decano de la Facultad de Educación, a
partir del 1 de enero del año 2022. A continuación, lo invitó a presentar su informe de gestión."
Consejo Académico 297-22.pdf,2022-01-22,Creación Programas,,Profesores,Educación,"Objetivo 1: ampliar, consolidar y posicionar la oferta de programas de la Facultad con
un especial énfasis en las regiones."
Consejo Académico 297-22.pdf,2022-01-22,Perfil de estudiantes,Pregrado,Estudiantes,Educación,"Número de estudiantes: desde 2016-10 hasta 2021-20 el número de estudiantes de
las 9 licenciaturas se ha incrementado, tanto en estudiantes propios como de quienes
toman una licenciatura como opción y como doble programa. De la misma manera,
se destacó que para el periodo 2022-10, ingresaron 14 estudiantes nuevos a la facultad
(más que la primera cohorte de 2016) gracias a la beca Decidí Enseñar."
Consejo Académico 297-22.pdf,2022-01-22,Impacto Social,,Estudiantes,Educación,"Apoyo financiero: los diferentes programas de financiación y las becas que ofrece
Uniandes han permitido que la Universidad le aporte al país e incida en un tema social
prioritario."
Consejo Académico 297-22.pdf,2022-01-22,"Educación General,Oferta de cursos,Internacionalización ",Educación continua,Profesores,Educación,"Educación continua: en la actualidad se cuenta con los cursos corporativos, cursos
abiertos y cursos por extensión. Esto ha permitido atraer, entre otros, a los docentes
que fueron becados por la Secretaría de Educación. Del mismo modo, se están
forjando alianzas internacionales con organizaciones de alto reconocimiento para
otorgar microcredenciales."
Consejo Académico 297-22.pdf,2022-01-22,"Promoción investigación,Formación en investigación",,Profesores,Educación,"Objetivo 2: fortalecer la investigación para que sea pertinente para el país y la región.
Esto, por medio de ampliar el alcance de la investigación y la consultoría, así como de
aumentar y mantener la calidad de la producción académica y editorial."
Consejo Académico 297-22.pdf,2022-01-22,Posicionamiento,,,Educación,"Objetivo 3: posicionar la Facultad como un actor clave dentro del desarrollo de la
educación del país."
